file_scenario,file_period,geo_name,ensmean,ensmax,ensmin
historical,1995,2305,4.85,5.55,4.25
historical,1995,2306,4.85,5.55,4.25
historical,1995,2307,7.19,8.65,6.1
historical,1995,2308,7.19,8.65,6.1
historical,1995,2311,4.25,5.23,3.42
historical,1995,2312,4.02,5.24,3.12
historical,1995,2316,4.8,5.78,3.97
historical,1995,2317,4.36,5.3,3.52
historical,1995,2318,6.43,7.53,5.51
historical,1995,2319,5.28,6.28,4.42
historical,1995,2320,12.96,14.97,11.21
historical,1995,2321,11.12,12.86,9.61
historical,1995,2322,8.62,9.94,7.43
historical,1995,2323,9.61,11.1,8.32
historical,1995,2324,7.15,8.37,6.08
historical,1995,2325,8.35,9.61,7.03
historical,1995,2326,14.41,16.7,12.54
historical,1995,2327,12.94,14.88,11.27
historical,1995,2328,12.1,13.75,10.45
historical,1995,2329,10.16,11.55,8.74
historical,1995,2330,10.84,12.37,9.29
historical,1995,2331,16.47,18.96,14.35
historical,1995,2333,15.24,17.35,13.27
historical,1995,2334,16.98,19.8,14.85
historical,1995,2335,15.15,17.48,13.26
historical,1995,2336,10.11,11.64,8.64
historical,1995,2337,6.21,7.33,5.21
historical,1995,2338,4.07,5.03,3.22
historical,1995,2339,7.82,9.09,6.51
historical,1995,2340,8.33,10.13,7.02
historical,1995,2341,13.65,15.92,11.73
historical,1995,2342,14.78,17.42,12.78
historical,1995,2343,12.09,13.9,10.33
historical,1995,2344,11.32,13.88,9.57
historical,1995,2345,10.98,13.38,9.33
historical,1995,2346,9.95,12.06,8.3
historical,1995,2347,10.62,12.55,9.16
historical,1995,2350,0.99,1.48,0.64
historical,1995,2352,4.87,6.18,3.85
historical,1995,2353,5.85,7.32,4.66
historical,1995,2354,0.85,1.33,0.54
historical,1995,2355,3.33,4.23,2.53
historical,1995,2356,41.38,44.35,38.89
historical,1995,2357,14.95,16.91,13.06
historical,1995,2358,1.52,2.14,0.95
historical,1995,2359,5.77,7.08,4.57
historical,1995,2360,7.28,8.97,5.99
historical,1995,2361,12.77,15.64,10.76
historical,1995,2365,0.93,1.41,0.56
historical,1995,2369,2.68,3.52,1.83
historical,1995,2370,1.32,1.85,0.83
historical,1995,2371,1.71,2.46,1.19
historical,1995,2372,2.66,3.45,1.95
historical,1995,2379,19.55,22.14,17.57
historical,1995,2380,22.22,25.35,20.06
historical,1995,2381,16.25,18.53,14.23
historical,1995,2382,23.43,26.51,21.41
historical,1995,2386,51.55,54.36,49.35
historical,1995,2387,53.02,55.68,50.5
historical,1995,2388,40.61,43.67,38.29
historical,1995,2390,31.2,34.54,28.81
historical,1995,2395,12.76,14.41,11.04
historical,1995,2396,29.45,32.21,27.19
historical,1995,2397,42.06,45.47,39.1
historical,1995,2398,40.61,44.39,37.67
historical,1995,2399,33.98,38.19,31.37
historical,1995,2400,42.78,46.46,40.1
historical,1995,2401,29.13,33.02,26.72
historical,1995,2402,22.51,26.3,20.1
historical,1995,2403,14.7,17.57,12.67
historical,1995,2404,19.43,22.65,17.34
historical,1995,2405,47.57,51.21,44.72
historical,1995,2406,56.28,59.47,53.39
historical,1995,2408,29.37,33.59,26.67
historical,1995,2409,38.31,42.58,35.34
historical,1995,2410,26.61,30.77,23.92
historical,1995,2411,31.72,36.13,29.02
historical,1995,2415,2.93,3.76,2.26
historical,1995,2420,5.03,6.09,4.15
historical,1995,2421,10.45,11.94,9.02
historical,1995,2422,2.25,2.99,1.7
historical,1995,2423,3.54,4.62,2.77
historical,1995,2424,2.41,3.16,1.8
historical,1995,2425,3.83,4.8,3.09
historical,1995,2426,2.98,3.99,2.27
historical,1995,2428,3.77,5.06,2.89
historical,1995,2429,2.75,3.6,2.07
historical,1995,2430,3.09,4.08,2.3
historical,1995,2431,3.78,4.9,3.05
historical,1995,2439,1.31,1.91,0.95
historical,1995,2440,2.76,3.61,2.12
historical,1995,2441,2.86,3.75,2.33
historical,1995,2443,1.65,2.38,1.2
historical,1995,2444,1.91,2.7,1.49
historical,1995,2445,1.36,2.07,1.05
historical,1995,2446,1.29,1.84,0.96
historical,1995,2447,3.58,4.63,2.84
historical,1995,2448,4.85,6.13,3.88
historical,1995,2449,3.72,4.8,2.91
historical,1995,2450,2.95,3.87,2.33
