file_grid,file_scenario,file_period,geo_name,cent_lat,cent_long,ensmean,ensmax,ensmin
AUS-44,rcp45,2050,5275,-36.7159067,139.9801959,16.03,19.07,13.5
AUS-44,rcp45,2050,5276,-37.2557048,139.9329987,6.92,8.7,5.3
AUS-44,rcp45,2050,5277,-37.4001156,140.8235475,16.21,19.72,13.7
AUS-44,rcp45,2050,5278,-37.5529277,140.7035644,13.01,16.32,10.97
AUS-44,rcp45,2050,5279,-37.4869577,140.5605,12.02,15,10.15
AUS-44,rcp45,2050,5280,-37.5265706,140.3065679,12.02,15,10.15
AUS-44,rcp45,2050,5290,-37.8284174,140.7803525,6.28,7.95,4.9
AUS-44,rcp45,2050,5291,-37.8599613,140.7242599,10.77,13.53,8.95
AUS-44,rcp45,2050,5301,-35.4215298,140.0419007,32.49,36.45,29.8
AUS-44,rcp45,2050,5302,-35.5630085,140.5445899,36.19,40.13,33.09
AUS-44,rcp45,2050,5303,-35.3142524,140.6962009,37.11,41.02,34.3
AUS-44,rcp45,2050,5304,-35.1441907,140.8332441,40.47,43.96,37.39
AUS-44,rcp45,2050,5306,-35.1324319,139.7043281,34.6,38.27,31.6
AUS-44,rcp45,2050,5307,-35.1586913,140.0187467,36.93,40.71,34.03
AUS-44,rcp45,2050,5308,-34.7672916,139.9539865,42.33,45.98,39.12
AUS-44,rcp45,2050,5309,-34.9297011,140.2018534,40.49,44.26,37.52
AUS-44,rcp45,2050,5310,-34.7087293,140.2870578,44.53,48.1,41.33
AUS-44,rcp45,2050,5311,-34.6404008,140.6064833,43.9,47.23,40.66
AUS-44,rcp45,2050,5320,-33.9772995,139.5518364,47.32,50.9,43.67
AUS-44,rcp45,2050,5321,-34.0905756,139.7789325,50.52,53.92,47.05
AUS-44,rcp45,2050,5322,-34.1448055,139.9082272,49.6,53.05,46.09
AUS-44,rcp45,2050,5330,-34.2001378,140.0582987,49.76,53.37,46.26
